,class_code,group,category,class,group_des,category_des,class_des
0,1010002,1,1,2,"ACCOMMODATION, EATING AND DRINKING",ACCOMMODATION,"Camping, Caravanning, Mobile Homes, Holiday Parks and Centres"
1,1010003,1,1,3,"ACCOMMODATION, EATING AND DRINKING",ACCOMMODATION,Bed and Breakfast and Backpacker Accommodation
2,1010005,1,1,5,"ACCOMMODATION, EATING AND DRINKING",ACCOMMODATION,Hostels and Refuges for the Homeless
3,1010006,1,1,6,"ACCOMMODATION, EATING AND DRINKING",ACCOMMODATION,"Hotels, Motels, Country Houses and Inns"
4,1010007,1,1,7,"ACCOMMODATION, EATING AND DRINKING",ACCOMMODATION,Self Catering
5,1010008,1,1,8,"ACCOMMODATION, EATING AND DRINKING",ACCOMMODATION,Timeshare
6,1010009,1,1,9,"ACCOMMODATION, EATING AND DRINKING",ACCOMMODATION,Youth Accommodation
7,1020012,1,2,12,"ACCOMMODATION, EATING AND DRINKING",EATING AND DRINKING,Banqueting and Function Rooms
8,1020013,1,2,13,"ACCOMMODATION, EATING AND DRINKING",EATING AND DRINKING,"Cafes, Snack Bars and Tea Rooms"
9,1020018,1,2,18,"ACCOMMODATION, EATING AND DRINKING",EATING AND DRINKING,Fast Food and Takeaway Outlets
10,1020019,1,2,19,"ACCOMMODATION, EATING AND DRINKING",EATING AND DRINKING,Fast Food Delivery Services
11,1020020,1,2,20,"ACCOMMODATION, EATING AND DRINKING",EATING AND DRINKING,Fish and Chip Shops
12,1020025,1,2,25,"ACCOMMODATION, EATING AND DRINKING",EATING AND DRINKING,Internet Cafes
13,1020034,1,2,34,"ACCOMMODATION, EATING AND DRINKING",EATING AND DRINKING,"Pubs, Bars and Inns"
14,1020043,1,2,43,"ACCOMMODATION, EATING AND DRINKING",EATING AND DRINKING,Restaurants
15,2030044,2,3,44,COMMERCIAL SERVICES,CONSTRUCTION SERVICES,Metalworkers Including Blacksmiths
16,2030045,2,3,45,COMMERCIAL SERVICES,CONSTRUCTION SERVICES,Building Contractors
17,2030046,2,3,46,COMMERCIAL SERVICES,CONSTRUCTION SERVICES,Construction Completion Services
18,2030047,2,3,47,COMMERCIAL SERVICES,CONSTRUCTION SERVICES,Construction Plant
19,2030048,2,3,48,COMMERCIAL SERVICES,CONSTRUCTION SERVICES,"Cutting, Drilling and Welding Services"
20,2030049,2,3,49,COMMERCIAL SERVICES,CONSTRUCTION SERVICES,Demolition Services
21,2030050,2,3,50,COMMERCIAL SERVICES,CONSTRUCTION SERVICES,Diving Services
22,2030051,2,3,51,COMMERCIAL SERVICES,CONSTRUCTION SERVICES,Electrical Contractors
23,2030052,2,3,52,COMMERCIAL SERVICES,CONSTRUCTION SERVICES,"Gardening, Landscaping and Tree Surgery Services"
24,2030053,2,3,53,COMMERCIAL SERVICES,CONSTRUCTION SERVICES,Glaziers
25,2030054,2,3,54,COMMERCIAL SERVICES,CONSTRUCTION SERVICES,Painting and Decorating Services
26,2030055,2,3,55,COMMERCIAL SERVICES,CONSTRUCTION SERVICES,Plasterers
27,2030056,2,3,56,COMMERCIAL SERVICES,CONSTRUCTION SERVICES,Plumbing and Heating Services
28,2030057,2,3,57,COMMERCIAL SERVICES,CONSTRUCTION SERVICES,Pool and Court Construction
29,2030058,2,3,58,COMMERCIAL SERVICES,CONSTRUCTION SERVICES,Restoration and Preservation Services
30,2030059,2,3,59,COMMERCIAL SERVICES,CONSTRUCTION SERVICES,Road Construction Services
31,2030060,2,3,60,COMMERCIAL SERVICES,CONSTRUCTION SERVICES,Roofing and Chimney Services
32,2030778,2,3,778,COMMERCIAL SERVICES,CONSTRUCTION SERVICES,Fencing and Drystone Walling Services
33,2030779,2,3,779,COMMERCIAL SERVICES,CONSTRUCTION SERVICES,Building and Component Suppliers
34,2040063,2,4,63,COMMERCIAL SERVICES,CONSULTANCIES,Architectural and Building-Related Consultants
35,2040064,2,4,64,COMMERCIAL SERVICES,CONSULTANCIES,Business-Related Consultants
36,2040065,2,4,65,COMMERCIAL SERVICES,CONSULTANCIES,Computer Consultants
37,2040066,2,4,66,COMMERCIAL SERVICES,CONSULTANCIES,Construction Service Consultants
38,2040067,2,4,67,COMMERCIAL SERVICES,CONSULTANCIES,"Feng Shui Consultants, Furnishers and Shop Fitters"
39,2040068,2,4,68,COMMERCIAL SERVICES,CONSULTANCIES,Food Consultants
40,2040069,2,4,69,COMMERCIAL SERVICES,CONSULTANCIES,Image Consultants
41,2040070,2,4,70,COMMERCIAL SERVICES,CONSULTANCIES,Interpretation and Translation Consultants
42,2040071,2,4,71,COMMERCIAL SERVICES,CONSULTANCIES,Security Consultants
43,2040072,2,4,72,COMMERCIAL SERVICES,CONSULTANCIES,Telecommunications Consultants
44,2040074,2,4,74,COMMERCIAL SERVICES,CONSULTANCIES,Traffic Management and Transport Related Consultants
45,2050075,2,5,75,COMMERCIAL SERVICES,EMPLOYMENT AND CAREER AGENCIES,Careers Offices and Armed Forces Recruitment
46,2050076,2,5,76,COMMERCIAL SERVICES,EMPLOYMENT AND CAREER AGENCIES,Domestic Staff and Home Help
47,2050077,2,5,77,COMMERCIAL SERVICES,EMPLOYMENT AND CAREER AGENCIES,Driver Agencies
48,2050078,2,5,78,COMMERCIAL SERVICES,EMPLOYMENT AND CAREER AGENCIES,Employment Agencies
49,2050079,2,5,79,COMMERCIAL SERVICES,EMPLOYMENT AND CAREER AGENCIES,Modelling and Theatrical Agencies
50,2050081,2,5,81,COMMERCIAL SERVICES,EMPLOYMENT AND CAREER AGENCIES,Nursing Agencies
51,2060083,2,6,83,COMMERCIAL SERVICES,ENGINEERING SERVICES,Aviation Engineers
52,2060084,2,6,84,COMMERCIAL SERVICES,ENGINEERING SERVICES,Chemical Engineers
53,2060085,2,6,85,COMMERCIAL SERVICES,ENGINEERING SERVICES,Civil Engineers
54,2060086,2,6,86,COMMERCIAL SERVICES,ENGINEERING SERVICES,Electrical and Electronic Engineers
55,2060087,2,6,87,COMMERCIAL SERVICES,ENGINEERING SERVICES,Hydraulic Engineers
56,2060088,2,6,88,COMMERCIAL SERVICES,ENGINEERING SERVICES,Industrial Engineers
57,2060089,2,6,89,COMMERCIAL SERVICES,ENGINEERING SERVICES,Instrumentation Engineers
58,2060090,2,6,90,COMMERCIAL SERVICES,ENGINEERING SERVICES,Marine Engineers and Services
59,2060091,2,6,91,COMMERCIAL SERVICES,ENGINEERING SERVICES,Mechanical Engineers
60,2060092,2,6,92,COMMERCIAL SERVICES,ENGINEERING SERVICES,Pneumatic Engineers
61,2060093,2,6,93,COMMERCIAL SERVICES,ENGINEERING SERVICES,Precision Engineers
62,2060094,2,6,94,COMMERCIAL SERVICES,ENGINEERING SERVICES,Structural Engineers
63,2070095,2,7,95,COMMERCIAL SERVICES,CONTRACT SERVICES,Agricultural Contractors
64,2070096,2,7,96,COMMERCIAL SERVICES,CONTRACT SERVICES,Aircraft Charters
65,2070098,2,7,98,COMMERCIAL SERVICES,CONTRACT SERVICES,Catering Services
66,2070100,2,7,100,COMMERCIAL SERVICES,CONTRACT SERVICES,Contract Cleaning Services
67,2070101,2,7,101,COMMERCIAL SERVICES,CONTRACT SERVICES,Display and Window Dressers
68,2070102,2,7,102,COMMERCIAL SERVICES,CONTRACT SERVICES,Drain and Sewage Clearance
69,2070105,2,7,105,COMMERCIAL SERVICES,CONTRACT SERVICES,Linen Hire and Washroom Services
70,2070107,2,7,107,COMMERCIAL SERVICES,CONTRACT SERVICES,Office Services
71,2070108,2,7,108,COMMERCIAL SERVICES,CONTRACT SERVICES,Packers
72,2070109,2,7,109,COMMERCIAL SERVICES,CONTRACT SERVICES,Pest and Vermin Control
73,2080114,2,8,114,COMMERCIAL SERVICES,"IT, ADVERTISING, MARKETING AND MEDIA SERVICES",Advertising Services
74,2080115,2,8,115,COMMERCIAL SERVICES,"IT, ADVERTISING, MARKETING AND MEDIA SERVICES","Artists, Illustrators and Calligraphers"
75,2080116,2,8,116,COMMERCIAL SERVICES,"IT, ADVERTISING, MARKETING AND MEDIA SERVICES",Computer Security
